id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs,SessionID
1,870.275,317.233,3463716819.87,48661575.6316,148690328.806,0_Jupiter,647CNT,1973-04-22T18:26:30,20200914UT
1,649.194,322.115,4656718.50661,6195862.02067,101446.532559,2_Europa,647CNT,1973-04-22T18:26:30,20200914UT
2,758.376,312.837,5279620.5555,6435537.99006,124621.469966,1_Io,647CNT,1973-04-22T18:26:30,20200914UT
3,944.94,298.654,4039973.37646,8738197.49262,33180.4050751,4_Callisto,647CNT,1973-04-22T18:26:30,20200914UT
4,1406.596,313.977,5884035.71258,6131774.38229,155853.057357,3_Ganymede,647CNT,1973-04-22T18:26:30,20200914UT
1,870.275,317.233,1719606804.95,32329223.4494,112698758.561,0_Jupiter,656HIA,1975-01-26T21:52:12,20200914UT
1,649.194,322.115,2679029.16597,4080475.1041,76590.0667951,2_Europa,656HIA,1975-01-26T21:52:12,20200914UT
2,758.376,312.837,3018896.16427,4305889.03776,93612.5183406,1_Io,656HIA,1975-01-26T21:52:12,20200914UT
3,944.94,298.654,2431541.36446,5547426.26829,23417.1009232,4_Callisto,656HIA,1975-01-26T21:52:12,20200914UT
4,1406.596,313.977,3256043.04917,3998773.10287,117100.209039,3_Ganymede,656HIA,1975-01-26T21:52:12,20200914UT
