id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs
1,1115.138,694.867,770502317.405,20851845.86,79128091.6509,0_Jupiter,656HIA,2020-09-24T02:47:22
1,518.228,711.519,1229183.21839,2588881.58161,27195.0131875,4_Callisto,656HIA,2020-09-24T02:47:22
2,784.957,706.481,1828781.58413,2632332.77656,88595.4518866,3_Ganymede,656HIA,2020-09-24T02:47:22
3,1015.554,699.698,1584917.84968,2749433.37465,58303.1930721,1_Io,656HIA,2020-09-24T02:47:22
4,1268.622,703.033,1410225.04205,2656515.10959,43582.3027316,2_Europa,656HIA,2020-09-24T02:47:22
1,1115.138,694.867,866358142.587,18463530.3434,99967568.4078,0_Jupiter,647CNT,2020-09-24T02:52:23
1,518.228,711.519,1173275.29461,2308259.25758,36197.420355,4_Callisto,647CNT,2020-09-24T02:52:23
2,784.957,706.481,1839243.07279,2335072.25513,113363.644367,3_Ganymede,647CNT,2020-09-24T02:52:23
3,1015.554,699.698,1599023.75787,2493058.49224,78132.5674441,1_Io,647CNT,2020-09-24T02:52:23
4,1268.622,703.033,1400279.01374,2383603.20668,59579.7424975,2_Europa,647CNT,2020-09-24T02:52:23
