id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs,SessionID
1,1115.138,694.867,770502317.405,20851845.86,79128091.6509,0_Jupiter,656HIA,2020-09-24T02:47:22,20200924UT
1,518.228,711.519,1229183.21839,2588881.58161,27195.0131875,4_Callisto,656HIA,2020-09-24T02:47:22,20200924UT
2,784.957,706.481,1828781.58413,2632332.77656,88595.4518866,3_Ganymede,656HIA,2020-09-24T02:47:22,20200924UT
3,1015.554,699.698,1584917.84968,2749433.37465,58303.1930721,1_Io,656HIA,2020-09-24T02:47:22,20200924UT
4,1268.622,703.033,1410225.04205,2656515.10959,43582.3027316,2_Europa,656HIA,2020-09-24T02:47:22,20200924UT
1,1115.138,694.867,722426362.61,19643668.8448,78303262.6279,0_Jupiter,672SII,2020-09-24T02:50:04,20200924UT
1,518.228,711.519,1159145.6287,2447546.60916,26812.850029,4_Callisto,672SII,2020-09-24T02:50:04,20200924UT
2,784.957,706.481,1736010.6539,2489500.43861,89160.8877141,3_Ganymede,672SII,2020-09-24T02:50:04,20200924UT
3,1015.554,699.698,1511807.87661,2597673.71826,59742.2480294,1_Io,672SII,2020-09-24T02:50:04,20200924UT
4,1268.622,703.033,1344892.41261,2521428.95027,44372.9506952,2_Europa,672SII,2020-09-24T02:50:04,20200924UT
1,1115.138,694.867,866358142.587,18463530.3434,99967568.4078,0_Jupiter,647CNT,2020-09-24T02:52:23,20200924UT
1,518.228,711.519,1173275.29461,2308259.25758,36197.420355,4_Callisto,647CNT,2020-09-24T02:52:23,20200924UT
2,784.957,706.481,1839243.07279,2335072.25513,113363.644367,3_Ganymede,647CNT,2020-09-24T02:52:23,20200924UT
3,1015.554,699.698,1599023.75787,2493058.49224,78132.5674441,1_Io,647CNT,2020-09-24T02:52:23,20200924UT
4,1268.622,703.033,1400279.01374,2383603.20668,59579.7424975,2_Europa,647CNT,2020-09-24T02:52:23,20200924UT
1,1228.693,800.266,797541315.504,18694039.5897,91847039.8113,0_Jupiter,656HIA,2020-09-25T02:39:23,20200925UT
1,403.446,810.659,1127729.72884,2302913.65523,31074.9538973,4_Callisto,656HIA,2020-09-25T02:39:23,20200925UT
2,685.12,801.019,1781869.81249,2320638.99585,107250.610476,3_Ganymede,656HIA,2020-09-25T02:39:23,20200925UT
3,902.34,799.914,1417482.56997,2366794.14768,62345.2664221,2_Europa,656HIA,2020-09-25T02:39:23,20200925UT
4,1385.118,797.31,1532792.36039,2416796.59033,73705.1340017,1_Io,656HIA,2020-09-25T02:39:23,20200925UT
1,1228.693,800.266,934536286.71,21836822.3571,91486347.3776,0_Jupiter,672SII,2020-09-25T02:42:08,20200925UT
1,403.446,810.659,1322012.36824,2719482.71837,30220.6348847,4_Callisto,672SII,2020-09-25T02:42:08,20200925UT
2,685.12,801.019,2064539.92642,2748060.35032,103401.729505,3_Ganymede,672SII,2020-09-25T02:42:08,20200925UT
3,902.34,799.914,1649757.81234,2795868.0913,60130.7278102,2_Europa,672SII,2020-09-25T02:42:08,20200925UT
4,1385.118,797.31,1788084.33229,2823981.90573,72909.1117637,1_Io,672SII,2020-09-25T02:42:08,20200925UT
1,1228.693,800.266,1234555748.26,21741821.6106,121496852.159,0_Jupiter,647CNT,2020-09-25T02:44:42,20200925UT
1,403.446,810.659,1450516.71465,2732395.75654,42586.8305946,4_Callisto,647CNT,2020-09-25T02:44:42,20200925UT
2,685.12,801.019,2459359.71754,2758922.85235,142476.364791,3_Ganymede,647CNT,2020-09-25T02:44:42,20200925UT
3,902.34,799.914,1893283.80604,2780207.13865,85070.6129044,2_Europa,647CNT,2020-09-25T02:44:42,20200925UT
4,1385.118,797.31,2007548.54135,2815820.5772,95161.58249,1_Io,647CNT,2020-09-25T02:44:42,20200925UT
1,580.846,753.611,283354935.964,20100854.6423,2652460.57908,0_Jupiter,940NIR,2020-10-07T01:28:12,20201007UT
1,447.602,750.386,1257617.07348,2711334.79916,2408.66523796,1_Io,940NIR,2020-10-07T01:28:12,20201007UT
2,726.343,747.246,1206401.05551,2735070.8473,1807.49487774,2_Europa,940NIR,2020-10-07T01:28:12,20201007UT
3,854.645,763.049,1273366.7434,2705910.37803,2586.50351637,3_Ganymede,940NIR,2020-10-07T01:28:12,20201007UT
4,1202.839,761.727,1101015.16285,2669398.35632,999.907792313,4_Callisto,940NIR,2020-10-07T01:28:12,20201007UT
1,580.846,753.611,656591667.75,17667019.2186,75373580.4964,0_Jupiter,656HIA,2020-10-07T01:44:29,20201007UT
1,447.602,750.386,1413453.69179,2316329.88843,64097.6451335,1_Io,656HIA,2020-10-07T01:44:29,20201007UT
2,726.343,747.246,1255049.95959,2317006.96556,45432.0408826,2_Europa,656HIA,2020-10-07T01:44:29,20201007UT
3,854.645,763.049,1535726.30511,2297152.39013,79328.7245664,3_Ganymede,656HIA,2020-10-07T01:44:29,20201007UT
4,1202.839,761.727,1064545.16087,2235321.4524,26623.4842609,4_Callisto,656HIA,2020-10-07T01:44:29,20201007UT
1,580.846,753.611,540301815.206,14451556.8516,75326056.3742,0_Jupiter,672SII,2020-10-07T01:47:05,20201007UT
1,447.602,750.386,1129627.21771,1892000.45474,60018.1495973,1_Io,672SII,2020-10-07T01:47:05,20201007UT
2,726.343,747.246,1034213.08008,1902078.78478,45847.6479698,2_Europa,672SII,2020-10-07T01:47:05,20201007UT
3,854.645,763.049,1258565.55706,1871803.23784,79519.9061246,3_Ganymede,672SII,2020-10-07T01:47:05,20201007UT
4,1202.839,761.727,871022.639538,1835098.26403,26122.9700752,4_Callisto,672SII,2020-10-07T01:47:05,20201007UT
1,580.846,753.611,604694306.213,12279991.4641,98938541.8067,0_Jupiter,647CNT,2020-10-07T01:49:34,20201007UT
1,447.602,750.386,1087810.21796,1617432.65227,80212.1622269,1_Io,647CNT,2020-10-07T01:49:34,20201007UT
2,726.343,747.246,961547.254082,1617378.4036,59171.7254551,2_Europa,647CNT,2020-10-07T01:49:34,20201007UT
