Names,20200902UT,20200903UT,20200904UT,20200913UT,20200914UT,20200915UT,20200924UT,20200925UT,20201007UT,20201008UT,20201009UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.3105359247152235,1.3180147898819534,1.3255149864261662,1.329423680444754,1.3193608403941521,1.3021362386437234,1.2633638234167957,1.322817288487471,1.3126421904742063,1.3592245152836704,1.2936623929168352,1.3142451519168135,0.022703454246302542,0.006845349016362416
1_Io,1.3902660277631775,1.3245569835440667,1.3437713149717259,1.379396739245732,1.3312479161485522,0.0,1.3401078624894158,1.291111993471389,1.2514057585084264,0.0,0.0,1.3314830745178106,0.04193263860150254,0.012643166246432466
2_Europa,1.3552595715333202,0.0,1.3838685315935781,1.3591177192686688,1.3245390271084148,1.3460474924091002,1.367062747105706,1.3645079696737528,1.3024227902953402,1.3959268086449517,1.3181832875126183,1.351693594514545,0.027892397736068605,0.008409874344899815
3_Ganymede,0.0,1.3869868886030323,1.3869598871814128,1.3761891095216001,1.3309374819703579,1.3822709814534,1.2795650561368754,1.328443392143696,1.2991714499632456,1.3628846375641943,1.298753251897201,1.3432162136435017,0.03894365692279479,0.01174195436156699
4_Callisto,0.0,0.0,1.3550637838864423,1.3703404677210997,1.4169305237196155,1.3153442636025885,1.3310315426348904,1.3704551496782023,1.2917919514534468,1.35968839344832,0.0,1.351330759518076,0.03599684299387927,0.01085345653163919
Moons Ratio,1.3727627996482488,1.3557719360735496,1.3674158794082898,1.3712610089392752,1.350913737236735,1.3478875791550298,1.3294418020917218,1.3386296262417599,1.2861979875551148,1.3728332798858218,1.3084682697049095,1.3455985369036776,0.026913775150114467,0.008114808533174615
Moons StdP,0.01750322811492866,0.03121495252948281,0.01846820033829525,0.007726305118352633,0.03820875791431535,0.027353681409698665,0.03169904340114759,0.03179715942497101,0.020453279596115398,0.01638164210376213,0.00971501780770867,0.0,0.0,0.0
95% Conf,0.012376651292721086,0.022072304608013467,0.009234100169147625,0.0038631525591763167,0.019104378957157674,0.015792655325216787,0.015849521700573795,0.015898579712485504,0.010226639798057699,0.009457945478375173,0.006869554971178866,0.0,0.0,0.0
Trans647,0.954670337112158,0.9721508129892815,0.9693576083084138,0.9694898868838369,0.9766432926301248,0.9660570056295146,0.9502964488020761,0.9881876678624822,1.020559978459738,0.9900870959339773,0.988684573305386,0.0,0.0,0.0
NH3 Abs,0.045329662887842015,0.02784918701071848,0.030642391691586224,0.03051011311616314,0.023356707369875163,0.033942994370485424,0.04970355119792391,0.011812332137517756,-0.020559978459737893,0.009912904066022743,0.01131542669461405,0.0,0.0,0.0
Trans Conf,0.009015870255147086,0.016280248927365362,0.006752956659493685,0.0028172262858728978,0.014141820036736965,0.011716596821165874,0.011921937218790939,0.011876757693702934,0.007951061887056077,0.0068893620346687605,0.0052500737925636615,0.0,0.0,0.0
