RowNames,20210812UT,20210817UT,20210830UT,20210905UT,20210906UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.2514291078817719,1.285572098732699,1.2734978452235997,1.2841411535638494,1.2962802596343261,1.2781840930072492,0.015200859140347881,0.006798030870843376
1_Io,0.0,1.2979712573694233,1.3051781029005531,1.277951960346335,1.2934661876536384,1.2936418770674876,0.009975374601451335,0.0044611231419740115
2_Europa,0.0,1.2977514066718092,1.3071070056077752,1.3224992660559227,1.3246577926337124,1.3130038677423048,0.011106159397485939,0.004966825476345333
3_Ganymede,0.0,1.2749188140165968,1.3207658806207145,1.3342987009672405,0.0,1.3099944652015172,0.025410106731607093,0.011363745193479692
4_Callisto,1.2630937240496911,1.291304081048414,1.2853123427951139,0.0,1.3145235744861314,1.2885584305948377,0.01830789214480165,0.008187538272102182
Moons Ratio,1.2630937240496911,1.2904863897765608,1.3045908329810392,1.311583309123166,1.3108825182578274,1.2961273548376568,0.018172908862212123,0.008127171912962933
Moons StdP,0.0,0.009378455995381282,0.012648797972934894,0.024263929078205085,0.012991587615363464,0.0,0.0,0.0
95% Conf,0.0,0.004689227997690641,0.006324398986467447,0.014008785984899694,0.007500696606930705,0.0,0.0,0.0
Trans647,0.9907650430480166,0.9961919078862097,0.9761664830294792,0.9790770777819195,0.9888607419657196,0.0,0.0,0.0
NH3 Abs,0.009234956951983397,0.0038080921137902957,0.02383351697052083,0.020922922218080453,0.011139258034280397,0.0,0.0,0.0
Trans Conf,0.0,0.0036336903936681963,0.004847802718355729,0.010680820568130744,0.005721867903844798,0.0,0.0,0.0
